Dyad,Conv,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism
54.0,1.0,46.0,53.75,40.0,50.0,55.0
54.0,2.0,52.5,49.75,52.25,57.5,50.0
55.0,1.0,60.0,61.25,52.5,52.5,51.25
55.0,2.0,46.0,50.25,45.25,51.75,52.5
56.0,1.0,56.25,57.5,61.25,55.0,52.5
56.0,2.0,52.5,52.75,57.5,60.0,60.0
57.0,1.0,61.0,55.0,57.5,51.25,48.75
57.0,2.0,56.5,57.5,56.25,56.5,52.75
58.0,1.0,61.25,57.5,60.0,52.5,55.0
58.0,2.0,55.25,55.0,60.0,58.75,48.75
59.0,1.0,57.5,55.0,51.25,47.25,55.25
59.0,2.0,46.0,48.5,42.25,46.25,53.75
60.0,1.0,56.25,61.25,53.75,50.0,46.25
60.0,2.0,53.75,56.25,47.5,56.75,51.25
61.0,1.0,46.0,56.25,46.25,55.0,57.5
61.0,2.0,57.5,55.75,60.0,53.75,57.5
62.0,1.0,55.0,57.5,52.5,57.25,57.5
62.0,2.0,53.75,56.25,55.5,51.25,56.25
63.0,1.0,59.0,53.75,55.0,57.5,62.5
63.0,2.0,45.0,50.25,57.5,52.5,58.75
64.0,1.0,51.25,56.25,50.0,50.75,60.0
64.0,2.0,52.0,50.75,47.5,48.75,53.75
65.0,1.0,53.5,54.0,60.25,61.25,47.5
65.0,2.0,54.75,53.75,52.5,51.25,50.75
66.0,1.0,57.5,54.0,53.75,48.5,57.5
66.0,2.0,48.5,54.5,50.0,56.25,45.0
67.0,1.0,55.0,47.5,53.75,47.5,54.75
67.0,2.0,45.0,42.5,43.5,50.0,53.75
68.0,1.0,65.0,60.25,66.5,61.25,56.25
68.0,2.0,55.0,53.25,57.5,53.0,53.5
69.0,1.0,58.75,51.25,52.5,53.75,55.5
69.0,2.0,51.25,45.0,51.25,51.25,56.25
70.0,1.0,48.5,56.25,43.75,51.25,43.75
70.0,2.0,56.25,52.75,56.25,56.25,51.25
71.0,1.0,51.25,60.0,60.0,60.0,53.75
71.0,2.0,56.25,53.75,57.5,57.5,51.0
72.0,1.0,55.0,54.0,53.75,54.75,47.25
72.0,2.0,57.5,58.75,62.5,56.25,53.75
73.0,1.0,46.25,51.25,55.0,55.0,54.0
73.0,2.0,55.0,55.0,55.0,46.25,52.5
74.0,1.0,56.25,53.75,52.5,59.0,53.75
74.0,2.0,47.5,57.5,57.5,53.75,48.75
75.0,1.0,61.25,56.25,55.0,60.0,45.0
75.0,2.0,52.5,57.5,58.75,58.75,50.0
76.0,1.0,67.5,58.75,63.75,57.5,53.75
76.0,2.0,58.75,61.5,57.5,56.25,56.25
77.0,1.0,58.75,58.75,58.75,55.0,60.0
77.0,2.0,50.0,48.5,51.25,47.5,50.0
78.0,1.0,51.25,51.5,55.0,55.0,55.0
78.0,2.0,48.75,52.5,55.0,48.75,52.5
79.0,1.0,50.0,51.25,51.25,56.25,52.5
79.0,2.0,56.25,58.75,61.25,61.25,52.5
80.0,1.0,43.75,53.75,45.0,47.5,57.75
80.0,2.0,43.75,52.75,48.75,47.5,57.5
