Dyad,CoderGender,SorH,Conv,Timid,Yielding,Awkward,Shy,Meek
25.0,1.0,2.0,2.0,54.166666666666664,52.5,46.666666666666664,50.833333333333336,55.833333333333336
25.0,1.0,2.0,3.0,64.16666666666667,62.166666666666664,42.5,61.166666666666664,64.16666666666667
26.0,1.0,2.0,1.0,49.166666666666664,42.5,46.666666666666664,43.333333333333336,41.166666666666664
26.0,1.0,2.0,2.0,39.166666666666664,48.333333333333336,49.166666666666664,35.833333333333336,35.0
26.0,1.0,2.0,3.0,33.333333333333336,50.0,29.166666666666668,28.333333333333332,30.0
27.0,1.0,2.0,1.0,57.5,46.666666666666664,54.166666666666664,55.833333333333336,51.666666666666664
27.0,1.0,2.0,2.0,58.333333333333336,56.666666666666664,50.833333333333336,56.666666666666664,52.5
27.0,1.0,2.0,3.0,72.83333333333333,67.0,70.83333333333333,75.83333333333333,75.83333333333333
28.0,1.0,2.0,1.0,41.666666666666664,56.666666666666664,39.166666666666664,41.666666666666664,44.166666666666664
28.0,1.0,2.0,2.0,45.0,59.166666666666664,43.333333333333336,42.0,44.166666666666664
28.0,1.0,2.0,3.0,30.833333333333332,40.0,38.333333333333336,28.333333333333332,30.833333333333332
29.0,1.0,2.0,1.0,53.333333333333336,56.666666666666664,52.5,51.666666666666664,40.833333333333336
29.0,1.0,2.0,2.0,47.0,50.0,37.833333333333336,46.666666666666664,40.0
29.0,1.0,2.0,3.0,44.166666666666664,51.666666666666664,35.0,49.0,55.833333333333336
30.0,1.0,2.0,1.0,52.5,56.666666666666664,45.333333333333336,50.0,55.833333333333336
30.0,1.0,2.0,2.0,50.833333333333336,55.833333333333336,37.5,45.833333333333336,48.666666666666664
30.0,1.0,2.0,3.0,55.833333333333336,51.666666666666664,54.166666666666664,40.833333333333336,47.5
31.0,1.0,2.0,1.0,47.5,58.333333333333336,47.5,46.666666666666664,52.5
31.0,1.0,2.0,2.0,48.0,56.0,53.0,53.0,41.0
31.0,1.0,2.0,3.0,52.5,57.0,38.333333333333336,47.5,53.333333333333336
32.0,1.0,2.0,1.0,47.5,52.0,47.5,53.333333333333336,45.833333333333336
32.0,1.0,2.0,2.0,40.833333333333336,48.666666666666664,48.333333333333336,38.333333333333336,40.0
32.0,1.0,2.0,3.0,40.833333333333336,44.166666666666664,42.833333333333336,39.166666666666664,35.833333333333336
33.0,1.0,2.0,1.0,48.0,54.0,54.0,50.0,54.0
33.0,1.0,2.0,2.0,45.0,47.0,45.0,44.0,43.0
33.0,1.0,2.0,3.0,57.0,51.0,43.0,47.0,49.0
34.0,1.0,2.0,1.0,58.333333333333336,58.333333333333336,54.166666666666664,59.166666666666664,55.0
34.0,1.0,2.0,2.0,53.333333333333336,55.0,52.5,46.666666666666664,47.5
34.0,1.0,2.0,3.0,52.0,49.0,47.0,47.0,56.25
35.0,1.0,2.0,1.0,45.0,49.166666666666664,44.166666666666664,51.666666666666664,42.5
35.0,1.0,2.0,2.0,43.333333333333336,47.5,39.5,38.333333333333336,42.5
35.0,1.0,2.0,3.0,55.0,60.0,54.166666666666664,53.0,53.333333333333336
36.0,1.0,2.0,1.0,38.333333333333336,50.833333333333336,44.166666666666664,53.333333333333336,45.833333333333336
36.0,1.0,2.0,2.0,43.0,52.0,49.0,48.0,38.0
36.0,1.0,2.0,3.0,45.833333333333336,55.0,47.5,43.333333333333336,50.0
37.0,1.0,2.0,1.0,40.833333333333336,55.0,42.5,45.833333333333336,39.5
37.0,1.0,2.0,2.0,39.0,45.0,40.0,50.0,41.4
37.0,1.0,2.0,3.0,21.666666666666668,34.166666666666664,26.666666666666668,22.5,24.166666666666668
38.0,1.0,2.0,1.0,54.166666666666664,57.5,51.666666666666664,59.166666666666664,43.333333333333336
38.0,1.0,2.0,2.0,52.5,54.5,54.166666666666664,55.0,45.833333333333336
38.0,1.0,2.0,3.0,53.0,55.0,51.0,50.0,61.25
39.0,1.0,2.0,1.0,41.666666666666664,53.0,40.0,47.5,42.5
39.0,1.0,2.0,2.0,44.166666666666664,56.666666666666664,50.0,50.833333333333336,45.0
39.0,1.0,2.0,3.0,35.833333333333336,49.166666666666664,44.166666666666664,38.333333333333336,41.666666666666664
40.0,1.0,2.0,1.0,40.833333333333336,51.666666666666664,34.166666666666664,45.0,35.0
40.0,1.0,2.0,2.0,48.333333333333336,53.333333333333336,41.666666666666664,43.333333333333336,48.333333333333336
40.0,1.0,2.0,3.0,52.5,56.666666666666664,37.5,47.5,53.333333333333336
41.0,1.0,2.0,1.0,43.333333333333336,50.0,45.0,49.166666666666664,44.166666666666664
41.0,1.0,2.0,2.0,45.833333333333336,46.666666666666664,46.666666666666664,50.0,41.666666666666664
41.0,1.0,2.0,3.0,33.333333333333336,50.833333333333336,36.666666666666664,40.833333333333336,43.333333333333336
42.0,1.0,2.0,1.0,46.666666666666664,51.666666666666664,45.0,44.166666666666664,42.5
42.0,1.0,2.0,2.0,52.5,55.0,55.833333333333336,51.666666666666664,40.833333333333336
42.0,1.0,2.0,3.0,40.0,52.5,32.5,47.5,48.333333333333336
43.0,1.0,2.0,1.0,38.333333333333336,50.833333333333336,33.333333333333336,37.5,36.666666666666664
43.0,1.0,2.0,2.0,44.166666666666664,45.0,41.666666666666664,45.0,40.333333333333336
43.0,1.0,2.0,3.0,23.333333333333332,38.333333333333336,22.5,21.666666666666668,21.666666666666668
44.0,1.0,2.0,1.0,41.666666666666664,60.0,40.833333333333336,41.666666666666664,43.333333333333336
44.0,1.0,2.0,2.0,47.5,55.0,49.166666666666664,45.833333333333336,43.333333333333336
44.0,1.0,2.0,3.0,37.5,54.166666666666664,45.0,43.333333333333336,32.5
45.0,1.0,2.0,1.0,52.5,53.333333333333336,44.166666666666664,44.166666666666664,35.0
45.0,1.0,2.0,2.0,37.5,51.666666666666664,45.0,40.0,40.333333333333336
45.0,1.0,2.0,3.0,41.666666666666664,46.0,40.0,48.333333333333336,47.5
46.0,1.0,2.0,1.0,47.5,49.166666666666664,49.166666666666664,48.333333333333336,47.5
46.0,1.0,2.0,2.0,55.0,57.5,60.833333333333336,55.0,45.833333333333336
46.0,1.0,2.0,3.0,30.0,44.0,35.0,29.0,29.0
47.0,1.0,2.0,1.0,60.833333333333336,55.833333333333336,53.333333333333336,59.5,59.166666666666664
47.0,1.0,2.0,2.0,59.166666666666664,59.166666666666664,50.0,57.5,54.166666666666664
47.0,1.0,2.0,3.0,65.0,61.666666666666664,59.666666666666664,63.333333333333336,64.16666666666667
48.0,1.0,2.0,1.0,43.333333333333336,51.666666666666664,48.333333333333336,46.666666666666664,44.166666666666664
48.0,1.0,2.0,2.0,51.666666666666664,60.0,56.666666666666664,50.0,45.833333333333336
48.0,1.0,2.0,3.0,34.166666666666664,47.0,47.5,34.0,34.166666666666664
49.0,1.0,2.0,1.0,50.0,51.666666666666664,41.666666666666664,45.833333333333336,54.166666666666664
49.0,1.0,2.0,2.0,55.833333333333336,57.833333333333336,49.166666666666664,50.0,52.5
49.0,1.0,2.0,3.0,39.5,50.833333333333336,35.833333333333336,40.833333333333336,40.0
50.0,1.0,2.0,1.0,47.833333333333336,48.333333333333336,42.833333333333336,50.0,41.666666666666664
50.0,1.0,2.0,2.0,46.666666666666664,45.0,55.0,50.833333333333336,42.5
50.0,1.0,2.0,3.0,36.666666666666664,48.333333333333336,37.5,50.0,35.833333333333336
51.0,1.0,2.0,1.0,44.166666666666664,42.5,39.166666666666664,47.5,45.833333333333336
51.0,1.0,2.0,2.0,49.166666666666664,50.0,42.0,53.0,45.0
51.0,1.0,2.0,3.0,55.833333333333336,55.0,52.5,55.0,53.333333333333336
52.0,1.0,2.0,1.0,51.666666666666664,58.333333333333336,48.333333333333336,52.5,52.5
52.0,1.0,2.0,2.0,50.0,58.333333333333336,44.166666666666664,50.0,51.666666666666664
52.0,1.0,2.0,3.0,55.833333333333336,51.0,49.166666666666664,50.833333333333336,52.5
53.0,1.0,2.0,1.0,41.0,59.0,46.0,50.0,43.0
53.0,1.0,2.0,2.0,52.5,60.0,42.5,49.166666666666664,42.5
53.0,1.0,2.0,3.0,32.5,43.333333333333336,29.166666666666668,29.5,31.0
54.0,1.0,2.0,1.0,41.666666666666664,45.833333333333336,44.166666666666664,48.333333333333336,45.833333333333336
54.0,1.0,2.0,2.0,45.333333333333336,55.0,47.5,49.166666666666664,42.5
54.0,1.0,2.0,3.0,55.833333333333336,60.833333333333336,54.166666666666664,63.333333333333336,60.833333333333336
55.0,1.0,2.0,1.0,47.5,54.166666666666664,53.333333333333336,55.0,48.666666666666664
55.0,1.0,2.0,2.0,55.0,51.666666666666664,57.5,55.833333333333336,52.5
55.0,1.0,2.0,3.0,54.166666666666664,50.833333333333336,45.833333333333336,44.166666666666664,50.833333333333336
56.0,1.0,2.0,1.0,54.166666666666664,59.166666666666664,48.333333333333336,54.166666666666664,52.5
56.0,1.0,2.0,2.0,51.666666666666664,57.5,52.5,48.333333333333336,47.5
56.0,1.0,2.0,3.0,56.666666666666664,51.666666666666664,45.0,50.0,54.166666666666664
57.0,1.0,2.0,1.0,57.5,60.0,57.5,51.666666666666664,48.333333333333336
57.0,1.0,2.0,2.0,52.5,54.166666666666664,43.333333333333336,49.166666666666664,45.0
57.0,1.0,2.0,3.0,50.0,50.833333333333336,33.666666666666664,42.5,51.666666666666664
58.0,1.0,2.0,1.0,45.833333333333336,54.166666666666664,42.5,51.666666666666664,50.833333333333336
58.0,1.0,2.0,2.0,45.833333333333336,52.5,44.166666666666664,40.0,40.833333333333336
58.0,1.0,2.0,3.0,50.833333333333336,57.0,49.166666666666664,58.0,45.0
59.0,1.0,2.0,1.0,39.166666666666664,53.666666666666664,36.666666666666664,43.333333333333336,40.0
59.0,1.0,2.0,2.0,50.833333333333336,51.666666666666664,42.5,53.333333333333336,42.5
59.0,1.0,2.0,3.0,60.333333333333336,59.0,43.333333333333336,50.0,56.666666666666664
60.0,1.0,2.0,1.0,51.666666666666664,63.333333333333336,39.0,51.666666666666664,47.5
60.0,1.0,2.0,2.0,53.333333333333336,57.833333333333336,46.666666666666664,43.333333333333336,50.0
60.0,1.0,2.0,3.0,43.333333333333336,56.0,31.666666666666668,31.666666666666668,46.666666666666664
61.0,1.0,2.0,1.0,42.5,53.333333333333336,39.5,49.166666666666664,49.166666666666664
61.0,1.0,2.0,2.0,48.666666666666664,54.166666666666664,49.166666666666664,46.666666666666664,44.166666666666664
61.0,1.0,2.0,3.0,38.0,49.166666666666664,40.0,30.0,30.0
62.0,1.0,2.0,1.0,40.833333333333336,55.0,40.0,40.833333333333336,40.833333333333336
62.0,1.0,2.0,2.0,44.166666666666664,45.833333333333336,47.0,44.166666666666664,43.333333333333336
62.0,1.0,2.0,3.0,28.333333333333332,43.333333333333336,39.166666666666664,24.166666666666668,26.666666666666668
63.0,1.0,2.0,1.0,52.5,52.833333333333336,41.166666666666664,48.333333333333336,41.666666666666664
63.0,1.0,2.0,2.0,50.0,56.666666666666664,47.0,57.5,48.333333333333336
63.0,1.0,2.0,3.0,31.666666666666668,40.0,36.666666666666664,30.0,29.166666666666668
64.0,1.0,2.0,1.0,45.833333333333336,51.666666666666664,49.166666666666664,45.0,45.0
64.0,1.0,2.0,2.0,40.0,50.0,40.0,40.0,35.0
64.0,1.0,2.0,3.0,37.5,52.5,40.833333333333336,43.333333333333336,40.833333333333336
65.0,1.0,2.0,1.0,45.0,55.833333333333336,45.833333333333336,46.666666666666664,42.833333333333336
65.0,1.0,2.0,2.0,48.333333333333336,52.5,40.833333333333336,44.166666666666664,45.0
65.0,1.0,2.0,3.0,50.0,54.166666666666664,42.0,38.333333333333336,37.5
66.0,1.0,2.0,1.0,41.666666666666664,57.5,46.166666666666664,48.333333333333336,38.333333333333336
66.0,1.0,2.0,2.0,51.666666666666664,51.666666666666664,49.166666666666664,50.0,46.666666666666664
66.0,1.0,2.0,3.0,51.666666666666664,55.0,46.666666666666664,53.333333333333336,52.166666666666664
67.0,1.0,2.0,1.0,43.333333333333336,56.666666666666664,47.5,57.5,48.333333333333336
67.0,1.0,2.0,2.0,51.0,50.4,54.0,52.0,40.0
67.0,1.0,2.0,3.0,55.0,53.333333333333336,46.666666666666664,50.0,56.0
68.0,1.0,2.0,1.0,45.833333333333336,55.0,42.833333333333336,44.166666666666664,48.666666666666664
68.0,1.0,2.0,2.0,51.666666666666664,57.0,54.166666666666664,44.5,50.0
68.0,1.0,2.0,3.0,58.333333333333336,52.0,49.0,54.166666666666664,57.0
69.0,1.0,2.0,1.0,46.666666666666664,50.0,35.0,40.333333333333336,40.0
69.0,1.0,2.0,2.0,43.333333333333336,45.833333333333336,40.0,45.833333333333336,45.0
69.0,1.0,2.0,3.0,34.166666666666664,41.666666666666664,38.333333333333336,34.166666666666664,35.0
70.0,1.0,2.0,1.0,49.166666666666664,55.0,40.833333333333336,48.333333333333336,55.0
70.0,1.0,2.0,2.0,47.5,49.166666666666664,40.0,46.666666666666664,50.0
70.0,1.0,2.0,3.0,55.833333333333336,53.333333333333336,48.333333333333336,48.333333333333336,51.666666666666664
71.0,1.0,2.0,1.0,56.666666666666664,60.833333333333336,55.0,57.5,50.0
71.0,1.0,2.0,2.0,53.333333333333336,58.333333333333336,49.166666666666664,50.0,51.666666666666664
71.0,1.0,2.0,3.0,30.0,50.4,43.0,37.0,27.0
72.0,1.0,2.0,1.0,54.166666666666664,58.0,54.0,52.0,54.0
72.0,1.0,2.0,2.0,49.166666666666664,53.333333333333336,44.166666666666664,45.833333333333336,41.666666666666664
72.0,1.0,2.0,3.0,43.333333333333336,46.666666666666664,48.333333333333336,40.833333333333336,38.333333333333336
73.0,1.0,2.0,1.0,48.333333333333336,50.0,43.666666666666664,43.333333333333336,45.833333333333336
73.0,1.0,2.0,2.0,52.5,51.666666666666664,46.666666666666664,48.333333333333336,39.166666666666664
73.0,1.0,2.0,3.0,53.333333333333336,52.0,54.166666666666664,53.75,49.0
74.0,1.0,2.0,1.0,45.833333333333336,57.5,39.166666666666664,44.166666666666664,40.0
74.0,1.0,2.0,2.0,43.333333333333336,57.0,44.166666666666664,47.0,43.666666666666664
74.0,1.0,2.0,3.0,29.166666666666668,34.166666666666664,24.166666666666668,19.166666666666668,23.333333333333332
75.0,1.0,2.0,1.0,53.333333333333336,57.5,40.833333333333336,50.0,51.166666666666664
75.0,1.0,2.0,2.0,51.666666666666664,56.166666666666664,50.0,39.166666666666664,54.166666666666664
75.0,1.0,2.0,3.0,37.5,50.833333333333336,42.5,45.0,51.666666666666664
76.0,1.0,2.0,1.0,41.666666666666664,58.666666666666664,38.666666666666664,42.5,45.333333333333336
76.0,1.0,2.0,2.0,49.166666666666664,53.333333333333336,36.666666666666664,46.666666666666664,44.166666666666664
76.0,1.0,2.0,3.0,52.5,55.0,34.0,40.833333333333336,48.333333333333336
77.0,1.0,2.0,1.0,50.0,58.333333333333336,46.666666666666664,50.0,48.333333333333336
77.0,1.0,2.0,2.0,49.166666666666664,56.666666666666664,54.166666666666664,49.166666666666664,47.5
77.0,1.0,2.0,3.0,50.833333333333336,54.0,49.166666666666664,55.833333333333336,44.166666666666664
78.0,1.0,2.0,1.0,54.166666666666664,56.666666666666664,50.833333333333336,50.833333333333336,53.333333333333336
78.0,1.0,2.0,2.0,50.833333333333336,51.666666666666664,52.833333333333336,48.333333333333336,40.0
78.0,1.0,2.0,3.0,42.5,49.166666666666664,43.0,42.5,39.5
79.0,1.0,2.0,1.0,55.833333333333336,54.166666666666664,44.166666666666664,47.5,45.833333333333336
79.0,1.0,2.0,2.0,55.833333333333336,55.833333333333336,40.833333333333336,48.333333333333336,53.666666666666664
79.0,1.0,2.0,3.0,55.333333333333336,57.5,48.333333333333336,55.833333333333336,60.333333333333336
80.0,1.0,2.0,1.0,47.5,45.0,47.5,48.333333333333336,40.0
80.0,1.0,2.0,2.0,45.833333333333336,48.333333333333336,35.833333333333336,40.833333333333336,40.0
80.0,1.0,2.0,3.0,38.333333333333336,46.0,45.0,40.833333333333336,33.0
